iter	Passed	Remaining
792	1724	450
793	1726	447
794	1727	445
795	1729	443
796	1730	440
797	1732	438
798	1734	436
799	1735	433
800	1737	431
801	1738	429
802	1740	426
803	1741	424
804	1743	422
805	1744	419
806	1746	417
807	1748	415
808	1750	413
809	1751	410
810	1753	408
811	1754	406
812	1756	403
813	1757	401
814	1759	399
815	1760	396
816	1762	394
817	1764	392
818	1765	390
819	1767	387
820	1768	385
821	1770	383
822	1771	380
823	1772	378
824	1774	376
825	1775	374
826	1777	371
827	1779	369
828	1780	367
829	1782	365
830	1783	362
831	1785	360
832	1786	358
833	1788	355
834	1789	353
835	1791	351
836	1793	349
837	1794	346
838	1796	344
839	1797	342
840	1798	340
841	1799	337
842	1801	335
843	1802	333
844	1803	330
845	1804	328
846	1805	326
847	1807	323
848	1808	321
849	1809	319
850	1810	317
851	1812	314
852	1813	312
853	1814	310
854	1815	307
855	1816	305
856	1817	303
857	1819	301
858	1820	298
859	1822	296
860	1824	294
861	1826	292
862	1827	290
863	1828	287
864	1829	285
865	1830	283
866	1831	281
867	1833	278
868	1834	276
869	1835	274
870	1837	272
871	1838	269
872	1839	267
873	1840	265
874	1842	263
875	1843	260
876	1844	258
877	1845	256
878	1846	254
879	1848	252
880	1849	249
881	1851	247
882	1853	245
883	1854	243
884	1855	241
885	1856	238
886	1858	236
887	1859	234
888	1860	232
889	1861	230
890	1862	227
891	1864	225
892	1866	223
893	1867	221
894	1868	219
895	1870	217
896	1871	214
897	1872	212
898	1873	210
899	1874	208
900	1876	206
901	1877	203
902	1878	201
903	1879	199
904	1881	197
905	1882	195
906	1884	193
907	1885	191
908	1886	188
909	1887	186
910	1888	184
911	1889	182
912	1891	180
913	1892	178
914	1893	175
915	1895	173
916	1897	171
917	1898	169
918	1899	167
919	1901	165
920	1902	163
921	1903	161
922	1904	158
923	1906	156
924	1907	154
925	1908	152
926	1909	150
927	1911	148
928	1912	146
929	1913	144
930	1914	141
931	1916	139
932	1917	137
933	1918	135
934	1919	133
935	1920	131
936	1922	129
937	1923	127
938	1924	125
939	1926	122
940	1927	120
941	1928	118
942	1929	116
943	1931	114
944	1932	112
945	1933	110
946	1934	108
947	1935	106
948	1937	104
949	1938	102
950	1940	99
951	1941	97
952	1942	95
953	1944	93
954	1945	91
955	1946	89
956	1947	87
957	1948	85
958	1949	83
959	1951	81
960	1952	79
961	1953	77
962	1955	75
963	1957	73
964	1958	71
965	1959	68
966	1960	66
967	1962	64
968	1963	62
969	1964	60
970	1965	58
971	1967	56
972	1968	54
973	1970	52
974	1971	50
975	1972	48
976	1973	46
977	1975	44
978	1976	42
979	1977	40
980	1978	38
981	1979	36
982	1981	34
983	1982	32
984	1983	30
985	1985	28
986	1986	26
987	1987	24
988	1989	22
989	1990	20
990	1991	18
991	1992	16
992	1993	14
993	1994	12
994	1996	10
995	1997	8
996	1999	6
997	2000	4
998	2002	2
999	2003	0
